technique_ID,Azure AD,Containers,Google Workspace,IaaS,Linux,Network,Office 365,PRE,SaaS,Windows,macOS
T1201,0,0,0,1,1,1,0,0,0,1,1
T1202,0,0,0,0,0,0,0,0,0,1,0
T1203,0,0,0,0,1,0,0,0,0,1,1
T1204,0,1,0,1,1,0,0,0,0,1,1
T1204.001,0,0,0,0,1,0,0,0,0,1,1
T1204.002,0,0,0,0,1,0,0,0,0,1,1
T1204.003,0,1,0,1,0,0,0,0,0,0,0
T1205,0,0,0,0,1,1,0,0,0,1,1
T1205.001,0,0,0,0,1,1,0,0,0,1,1
T1205.002,0,0,0,0,1,0,0,0,0,1,1
T1207,0,0,0,0,0,0,0,0,0,1,0
T1210,0,0,0,0,1,0,0,0,0,1,1
T1211,0,0,0,0,1,0,0,0,0,1,1
T1212,0,0,0,0,1,0,0,0,0,1,1
T1213,0,0,1,1,1,0,1,0,1,1,1
T1213.001,0,0,0,0,0,0,0,0,1,0,0
T1213.002,0,0,0,0,0,0,1,0,0,1,0
T1213.003,0,0,0,0,0,0,0,0,1,0,0
T1216,0,0,0,0,0,0,0,0,0,1,0
T1216.001,0,0,0,0,0,0,0,0,0,1,0
T1217,0,0,0,0,1,0,0,0,0,1,1
T1218,0,0,0,0,1,0,0,0,0,1,1
T1218.001,0,0,0,0,0,0,0,0,0,1,0
T1218.002,0,0,0,0,0,0,0,0,0,1,0
T1218.003,0,0,0,0,0,0,0,0,0,1,0
T1218.004,0,0,0,0,0,0,0,0,0,1,0
T1218.005,0,0,0,0,0,0,0,0,0,1,0
T1218.007,0,0,0,0,0,0,0,0,0,1,0
T1218.008,0,0,0,0,0,0,0,0,0,1,0
T1218.009,0,0,0,0,0,0,0,0,0,1,0
T1218.010,0,0,0,0,0,0,0,0,0,1,0
T1218.011,0,0,0,0,0,0,0,0,0,1,0
T1218.012,0,0,0,0,0,0,0,0,0,1,0
T1218.013,0,0,0,0,0,0,0,0,0,1,0
T1218.014,0,0,0,0,0,0,0,0,0,1,0
T1219,0,0,0,0,1,0,0,0,0,1,1
T1220,0,0,0,0,0,0,0,0,0,1,0
T1221,0,0,0,0,0,0,0,0,0,1,0
T1222,0,0,0,0,1,0,0,0,0,1,1
T1222.001,0,0,0,0,0,0,0,0,0,1,0
T1222.002,0,0,0,0,1,0,0,0,0,0,1
T1480,0,0,0,0,1,0,0,0,0,1,1
T1480.001,0,0,0,0,1,0,0,0,0,1,1
T1482,0,0,0,0,0,0,0,0,0,1,0
T1484,1,0,0,0,0,0,0,0,0,1,0
T1484.001,0,0,0,0,0,0,0,0,0,1,0
T1484.002,1,0,0,0,0,0,0,0,0,1,0
T1485,0,0,0,1,1,0,0,0,0,1,1
T1486,0,0,0,1,1,0,0,0,0,1,1
